{'mmsi': 20001834541437.0, 'Accuracy': 0.9085698689956332, 'Recall': 0.9955156950672646, 'F1': 0.9451449156705419, 'gear_type': 'Drifting_longlines'}
{'mmsi': 23406746127304.0, 'Accuracy': 0.9567610062893082, 'Recall': 0.9654471544715447, 'F1': 0.9718670076726342, 'gear_type': 'Drifting_longlines'}
{'mmsi': 37908995999986.0, 'Accuracy': 0.6903669724770642, 'Recall': 1.0, 'F1': 0.7775947281713345, 'gear_type': 'Drifting_longlines'}
{'mmsi': 48455039594066.0, 'Accuracy': 0.9904145077720208, 'Recall': 0.9992647058823529, 'F1': 0.9865698729582577, 'gear_type': 'Drifting_longlines'}
{'mmsi': 72061040661322.0, 'Accuracy': 0.8719706242350062, 'Recall': 0.9803184431667403, 'F1': 0.8944713478611783, 'gear_type': 'Drifting_longlines'}
{'mmsi': 96214383360627.0, 'Accuracy': 0.9446564885496184, 'Recall': 0.933076923076923, 'F1': 0.9653800238758455, 'gear_type': 'Drifting_longlines'}
{'mmsi': 117813837180006.0, 'Accuracy': 0.7023637936004612, 'Recall': 0.980883322346737, 'F1': 0.7424223525009354, 'gear_type': 'Drifting_longlines'}
{'mmsi': 132058711150033.0, 'Accuracy': 0.7613318410744264, 'Recall': 0.965032154340836, 'F1': 0.849160035366932, 'gear_type': 'Drifting_longlines'}
{'mmsi': 141471888075398.0, 'Accuracy': 0.8665132336018412, 'Recall': 0.8565891472868217, 'F1': 0.7921146953405018, 'gear_type': 'Drifting_longlines'}
{'mmsi': 160888730138947.0, 'Accuracy': 0.985079575596817, 'Recall': 0.9983818770226537, 'F1': 0.9909656695442682, 'gear_type': 'Drifting_longlines'}
{'mmsi': 182087889708399.0, 'Accuracy': 0.8879544619904517, 'Recall': 0.8538889994032226, 'F1': 0.9184028242090343, 'gear_type': 'Drifting_longlines'}
{'mmsi': 197235271847792.0, 'Accuracy': 0.952572347266881, 'Recall': 0.9429460580912863, 'F1': 0.9685668620138518, 'gear_type': 'Drifting_longlines'}
{'mmsi': 198266627907369.0, 'Accuracy': 0.9172523961661342, 'Recall': 0.9733333333333334, 'F1': 0.9530371713508613, 'gear_type': 'Drifting_longlines'}
{'mmsi': 202807357436622.0, 'Accuracy': 0.9809456598447425, 'Recall': 0.9764957264957265, 'F1': 0.9854447439353099, 'gear_type': 'Drifting_longlines'}
{'mmsi': 204349732031005.0, 'Accuracy': 0.906832298136646, 'Recall': 0.9311944337069965, 'F1': 0.9497338852749851, 'gear_type': 'Drifting_longlines'}
{'mmsi': 208886908053041.0, 'Accuracy': 0.9211229946524064, 'Recall': 0.9919093851132686, 'F1': 0.9540856031128405, 'gear_type': 'Drifting_longlines'}
{'mmsi': 212703922233424.0, 'Accuracy': 0.9024248463710347, 'Recall': 0.940962288686606, 'F1': 0.9249057327283184, 'gear_type': 'Drifting_longlines'}
{'mmsi': 225902824726985.0, 'Accuracy': 0.9622245540398741, 'Recall': 0.9946091644204852, 'F1': 0.9761904761904762, 'gear_type': 'Drifting_longlines'}
{'mmsi': 258237566084521.0, 'Accuracy': 0.8996010638297872, 'Recall': 0.8279009126466753, 'F1': 0.8486468426328099, 'gear_type': 'Drifting_longlines'}
{'mmsi': 23770783250938.0, 'Accuracy': 0.008875739644970414, 'Recall': 0.0, 'F1': 0.0, 'gear_type': 'Drifting_longlines'}
{'mmsi': 103576446797335.0, 'Accuracy': 0.8711882229232387, 'Recall': 0.868575624082232, 'F1': 0.906166219839142, 'gear_type': 'Drifting_longlines'}
{'mmsi': 56414685655968.0, 'Accuracy': 0.9987416107382551, 'Recall': 1.0, 'F1': 0.9895470383275261, 'gear_type': 'Drifting_longlines'}
{'mmsi': 80557044293978.0, 'Accuracy': 0.9833132287897065, 'Recall': 0.9982527664531159, 'F1': 0.9880386222798673, 'gear_type': 'Drifting_longlines'}
{'mmsi': 91817019950540.0, 'Accuracy': 0.9865609591027749, 'Recall': 0.989217458677686, 'F1': 0.9910090556274257, 'gear_type': 'Drifting_longlines'}
{'mmsi': 188687364514644.0, 'Accuracy': 0.9792101964061847, 'Recall': 0.9906925814399123, 'F1': 0.9864395229982963, 'gear_type': 'Drifting_longlines'}
{'mmsi': 9924005022437.0, 'Accuracy': 0.90625, 'Recall': 0.0, 'F1': 0.0, 'gear_type': 'Purse_seines'}
{'mmsi': 133554754525857.0, 'Accuracy': 1.0, 'Recall': 0.0, 'F1': 0.0, 'gear_type': 'Purse_seines'}
{'mmsi': 11170005450471.0, 'Accuracy': 0.7688984881209503, 'Recall': 0.9918032786885246, 'F1': 0.6934097421203438, 'gear_type': 'Purse_seines'}
{'mmsi': 38992105566132.0, 'Accuracy': 1.0, 'Recall': 0.0, 'F1': 0.0, 'gear_type': 'Purse_seines'}
{'mmsi': 83171028160219.0, 'Accuracy': 0.896143566246659, 'Recall': 0.20918367346938777, 'F1': 0.31139240506329113, 'gear_type': 'Purse_seines'}
{'mmsi': 267966743027591.0, 'Accuracy': 0.8333333333333334, 'Recall': 0.7661290322580645, 'F1': 0.829090909090909, 'gear_type': 'Purse_seines'}
{'mmsi': 222656062190286.0, 'Accuracy': 0.9394871331011714, 'Recall': 0.9021178637200736, 'F1': 0.8798383475527616, 'gear_type': 'Trawlers'}
{'mmsi': 274850145767759.0, 'Accuracy': 0.7203689498400344, 'Recall': 0.9299829888884867, 'F1': 0.7746890781638652, 'gear_type': 'Trawlers'}
{'mmsi': 1252339803566.0, 'Accuracy': 0.9752096924510718, 'Recall': 0.8393829401088929, 'F1': 0.8742911153119092, 'gear_type': 'Trawlers'}
{'mmsi': 51101297206144.0, 'Accuracy': 0.9763056092843327, 'Recall': 0.9916457811194653, 'F1': 0.9509313038253555, 'gear_type': 'Trawlers'}
{'mmsi': 78359653510570.0, 'Accuracy': 0.9936956521739131, 'Recall': 1.0, 'F1': 0.9646772228989038, 'gear_type': 'Trawlers'}
{'mmsi': 121426486551523.0, 'Accuracy': 0.9350812693498453, 'Recall': 0.9111216730038023, 'F1': 0.851054384017758, 'gear_type': 'Trawlers'}
